Date,Open,High,Low,Close,Return,Volume,Company
2021-07-20,143.460007,147.100006,142.960007,146.149994,0.01875078,96350000,Apple
2021-07-21,145.529999,146.130005,144.630005,145.399994,-0.000893321,74993500,Apple
2021-07-22,145.940002,148.199997,145.809998,146.800003,0.005892839,77338200,Apple
2021-07-23,147.550003,148.720001,146.919998,148.559998,0.006845103,71447400,Apple
2021-07-26,148.270004,149.830002,147.699997,148.990005,0.004856013,72434100,Apple
2021-07-27,149.119995,149.210007,145.550003,146.770004,-0.01575906,104818600,Apple
2021-07-28,144.809998,146.970001,142.539993,144.979996,0.001173938,118931200,Apple
2021-07-29,144.690002,146.550003,144.580002,145.639999,0.00656574,56699500,Apple
2021-07-30,144.380005,146.330002,144.110001,145.860001,0.010250699,70382000,Apple
2021-08-02,146.360001,146.949997,145.25,145.520004,-0.005739252,62880000,Apple
2021-08-03,145.809998,148.039993,145.179993,147.360001,0.010630293,64786600,Apple
2021-08-04,147.270004,147.789993,146.279999,146.949997,-0.002172927,56368300,Apple
2021-08-05,146.979996,147.839996,146.169998,147.059998,0.000544305,46397700,Apple
2021-08-06,146.350006,147.110001,145.630005,146.139999,-0.001434964,54067400,Apple
2021-08-09,146.199997,146.699997,145.520004,146.089996,-0.000752401,48908700,Apple
2021-08-10,146.440002,147.710007,145.300003,145.600006,-0.00573611,69023100,Apple
2021-08-11,146.050003,146.720001,145.529999,145.860001,-0.001300938,48493500,Apple
2021-08-12,146.190002,149.050003,145.839996,148.889999,0.018469095,72282600,Apple
2021-08-13,148.970001,149.440002,148.270004,149.100006,0.000872692,59318800,Apple
2021-08-16,148.539993,151.190002,146.470001,151.119995,0.017369073,103296000,Apple
2021-08-17,150.229996,151.679993,149.089996,150.190002,-0.000266218,92229700,Apple
2021-08-18,149.800003,150.720001,146.149994,146.360001,-0.022963965,86326000,Apple
2021-08-19,145.029999,148,144.5,146.699997,0.011514845,86960300,Apple
2021-08-20,147.440002,148.5,146.779999,148.190002,0.005086815,59947400,Apple
2021-08-23,148.309998,150.190002,147.889999,149.710007,0.009439748,60131800,Apple
2021-08-24,149.449997,150.860001,149.149994,149.619995,0.001137491,48606400,Apple
2021-08-25,149.809998,150.320007,147.800003,148.360001,-0.009678907,58991300,Apple
2021-08-26,148.350006,149.119995,147.509995,147.539993,-0.005460148,48597200,Apple
2021-08-27,147.479996,148.75,146.830002,148.600006,0.007594318,55721500,Apple
2021-08-30,149,153.490005,148.610001,153.119995,0.027650973,90956700,Apple
2021-08-31,152.660004,152.800003,151.289993,151.830002,-0.005436932,86453100,Apple
2021-09-01,152.830002,154.979996,152.339996,152.509995,-0.002093876,80313700,Apple
2021-09-02,153.869995,154.720001,152.399994,153.649994,-0.001429785,71115500,Apple
2021-09-03,153.759995,154.630005,153.089996,154.300003,0.003512019,57808700,Apple
2021-09-07,154.970001,157.259995,154.389999,156.690002,0.011098929,82278300,Apple
2021-09-08,156.979996,157.039993,153.979996,155.110001,-0.011912314,74420200,Apple
2021-09-09,155.490005,156.110001,153.949997,154.070007,-0.009132407,57305700,Apple
2021-09-10,155,155.479996,148.699997,148.970001,-0.038903219,140646400,Apple
2021-09-13,150.630005,151.419998,148.75,149.550003,-0.0071699,102404300,Apple
2021-09-14,150.350006,151.070007,146.910004,148.119995,-0.014832131,109296300,Apple
2021-09-15,148.559998,149.440002,146.369995,149.029999,0.003163712,83281300,Apple
2021-09-16,148.440002,148.970001,147.220001,148.789993,0.002357794,68034100,Apple
2021-09-17,148.820007,148.820007,145.759995,146.059998,-0.018545954,129868800,Apple
2021-09-20,143.800003,144.839996,141.270004,142.940002,-0.005980535,123478900,Apple
2021-09-21,143.929993,144.600006,142.779999,143.429993,-0.003473911,75834000,Apple
2021-09-22,144.449997,146.429993,143.699997,145.850006,0.009691997,76404300,Apple
2021-09-23,146.649994,147.080002,145.639999,146.830002,0.001227467,64838200,Apple
2021-09-24,145.660004,147.470001,145.559998,146.919998,0.00865024,53477900,Apple
2021-09-27,145.470001,145.960007,143.820007,145.369995,-0.000687468,74150700,Apple
2021-09-28,143.25,144.75,141.690002,141.910004,-0.009354248,108972300,Apple
2021-09-29,142.470001,144.449997,142.029999,142.830002,0.002526855,74602000,Apple
2021-09-30,143.660004,144.380005,141.279999,141.5,-0.015035528,88934200,Apple
2021-10-01,141.899994,142.919998,139.110001,142.649994,0.005285412,94639600,Apple
2021-10-04,141.759995,142.210007,138.270004,139.139999,-0.018481914,98322000,Apple
2021-10-05,139.490005,142.240005,139.360001,141.110001,0.011613707,80861100,Apple
2021-10-06,139.470001,142.149994,138.369995,142,0.018140095,83221100,Apple
2021-10-07,143.059998,144.220001,142.720001,143.289993,0.001607682,61732700,Apple
2021-10-08,144.029999,144.179993,142.559998,142.899994,-0.007845622,58718700,Apple
2021-10-11,142.270004,144.809998,141.809998,142.809998,0.003795558,64452200,Apple
2021-10-12,143.229996,143.25,141.039993,141.509995,-0.012008665,73035900,Apple
2021-10-13,141.240005,141.399994,139.199997,140.910004,-0.002336456,78762700,Apple
2021-10-14,142.110001,143.880005,141.509995,143.759995,0.011610682,69907100,Apple
2021-10-15,143.770004,144.899994,143.509995,144.839996,0.007442387,67885200,Apple
2021-10-18,143.449997,146.839996,143.160004,146.550003,0.021610359,85589200,Apple
2021-10-19,147.009995,149.169998,146.550003,148.759995,0.011903953,76378900,Apple
2021-10-20,148.699997,149.75,148.119995,149.259995,0.003765958,58418800,Apple
2021-10-21,148.809998,149.639999,147.869995,149.479996,0.004502372,61421000,Apple
2021-10-22,149.690002,150.179993,148.639999,148.690002,-0.006680473,58883400,Apple
2021-10-25,148.679993,149.369995,147.619995,148.639999,-0.000268994,50720600,Apple
2021-10-26,149.330002,150.839996,149.009995,149.320007,-6.69E-05,60893400,Apple
2021-10-27,149.360001,149.729996,148.490005,148.850006,-0.003414535,56094900,Apple
2021-10-28,149.820007,153.169998,149.720001,152.570007,0.018355359,100077900,Apple
2021-10-29,147.220001,149.940002,146.410004,149.800003,0.017524806,124850400,Apple
2021-11-01,148.990005,149.699997,147.800003,148.960007,-0.000201342,74588300,Apple
2021-11-02,148.660004,151.570007,148.649994,150.020004,0.009148392,69122000,Apple
2021-11-03,150.389999,151.970001,149.820007,151.490005,0.007314356,54511500,Apple
2021-11-04,151.580002,152.429993,150.639999,150.960007,-0.004090216,60394600,Apple
2021-11-05,151.889999,152.199997,150.059998,151.279999,-0.004016064,65414600,Apple
2021-11-08,151.410004,151.570007,150.160004,150.440002,-0.006406459,55020900,Apple
2021-11-09,150.199997,151.429993,150.059998,150.809998,0.004061258,56787900,Apple
2021-11-10,150.020004,150.130005,147.850006,147.919998,-0.013998173,65187100,Apple
2021-11-11,148.960007,149.429993,147.679993,147.869995,-0.007317481,41000000,Apple
2021-11-12,148.429993,150.399994,147.479996,149.990005,0.010510086,63632600,Apple
2021-11-15,150.369995,151.880005,149.429993,150,-0.002460564,59222800,Apple
2021-11-16,149.940002,151.490005,149.339996,151,0.007069481,59256200,Apple
2021-11-17,151,155,150.990005,153.490005,0.016490099,88807000,Apple
2021-11-18,153.710007,158.669998,153.050003,157.869995,0.027063872,137827700,Apple
2021-11-19,157.649994,161.020004,156.529999,160.550003,0.018395237,117305600,Apple
2021-11-22,161.679993,165.699997,161,161.020004,-0.00408207,117467900,Apple
2021-11-23,161.119995,161.800003,159.059998,161.410004,0.001799957,96041900,Apple
2021-11-24,160.75,162.139999,159.639999,161.940002,0.007402812,69463600,Apple
2021-11-26,159.570007,160.449997,156.360001,156.809998,-0.01729654,76959800,Apple
2021-11-29,159.369995,161.190002,158.789993,160.240005,0.005459058,88748200,Apple
2021-11-30,159.990005,165.520004,159.919998,165.300003,0.033189561,174048100,Apple
2021-12-01,167.479996,170.300003,164.529999,164.770004,-0.016180989,152052500,Apple
2021-12-02,158.740005,164.199997,157.800003,163.759995,0.031623975,136739200,Apple
2021-12-03,164.020004,164.960007,159.720001,161.839996,-0.013291111,117938300,Apple
2021-12-06,164.289993,167.880005,164.279999,165.320007,0.006269487,107497000,Apple
2021-12-07,169.080002,171.580002,168.339996,171.179993,0.012420103,120405400,Apple
2021-12-08,172.130005,175.960007,170.699997,175.080002,0.017138192,116998900,Apple
2021-12-09,174.910004,176.75,173.919998,174.559998,-0.002001063,108923700,Apple
2021-12-10,175.210007,179.630005,174.690002,179.449997,0.024199474,115228100,Apple
2021-12-13,181.119995,182.130005,175.529999,175.740005,-0.029704009,153237000,Apple
2021-12-14,175.25,177.740005,172.210007,174.330002,-0.005249632,139380400,Apple
2021-12-15,175.110001,179.5,172.309998,179.300003,0.023927828,131063300,Apple
2021-12-16,179.279999,181.139999,170.75,172.259995,-0.039156649,150185800,Apple
2021-12-17,169.929993,173.470001,169.690002,171.139999,0.007120615,195432700,Apple
2021-12-20,168.279999,170.580002,167.460007,169.75,0.008735447,107499100,Apple
2021-12-21,171.559998,173.199997,169.119995,172.990005,0.008335317,91185900,Apple
2021-12-22,173.039993,175.860001,172.149994,175.639999,0.015025463,92135300,Apple
2021-12-23,175.850006,176.850006,175.270004,176.279999,0.002445226,68356600,Apple
2021-12-27,177.089996,180.419998,177.070007,180.330002,0.018295816,74919600,Apple
2021-12-28,180.160004,181.330002,178.529999,179.289993,-0.004829102,79144300,Apple
2021-12-29,179.330002,180.630005,178.139999,179.380005,0.000278832,62348900,Apple
2021-12-30,179.470001,180.570007,178.089996,178.199997,-0.007076414,59773000,Apple
2021-12-31,178.089996,179.229996,177.259995,177.570007,-0.00291981,64062300,Apple
2022-01-03,177.830002,182.880005,177.710007,182.009995,0.023505556,104487900,Apple
2022-01-04,182.630005,182.940002,179.119995,179.699997,-0.01604341,99310400,Apple
2022-01-05,179.610001,180.169998,174.639999,174.919998,-0.026112148,94537600,Apple
2022-01-06,172.699997,175.300003,171.639999,172,-0.004053254,96904000,Apple
2022-01-07,172.889999,174.139999,171.029999,172.169998,-0.004164503,86580100,Apple
2022-01-10,169.080002,172.5,168.169998,172.190002,0.01839366,106765600,Apple
